"","Dufay, Se la face ay pale (Dufay OO, Bd. 6, Nr. 11)","14.0000","Dufay OO, vol. 3, p. 1-32","","27v-38r","Messe","","6","Ordinarium missae","","14006","III","4","Se la face aypale","Missa Se la face ay pale","Ordinarium missae","Dufay","Dufay, Guillaume"
"","Tr. Spiritus Almus (CT 3, S. 196-97; MMMA 3, S. 372-73, Nr. 351) zu Spiritus Domini, Int. in Dom. Pent. ad Missam (GR, S. 271-72; CAO 3, Nr. 4998)","14.0000","","","38v-47r","Messe","","7","Ordinarium missae","","14007","IV","4","Spiritus almus","Missa Spiritus almus","Ordinarium missae","De Domarto","Domarto, Petrus de"
"","AH 51, Nr. 88; MMMA 1, S. 37, Melodie Nr. 62; GR, S. 156","14.0000","Vincenet CW, p. 28-74","","47v-56r","Messe","","8","Ordinarium missae","","14008","V","4","Eterne rex altissime","Missa Aeterne Rex altissime","Ordinarium missae","Vincenet","Vincenet, Johannes (?)"
"T der ganzen Messe untextiert","CAO 2262; AR, S. 917","14.0000","MPLSER 2, II, fasc. 2","","56v-65r","Messe","","9","Ordinarium missae","","14009","VI","5","Diserunt discipuli","Missa Dixerunt discipuli","Ordinarium missae","Eloy","Eloy d'Amerval"
"","","14.0000","","","65v-75r","Messe","","10","Ordinarium missae","","14010","VII","4","","Missa sine nomine","Ordinarium missae","",""
"","","14.0000","Dufay OO, vol. 3, p. 66-90; Wegman 1989A, p. 50v-61r","","76v-86r","Messe","","11","Ordinarium missae","","14011","VIII","4","Ecce ancilla domini","Missa Ecce ancilla Domini","Ordinarium missae","Dufay","Dufay, Guillaume"
"","","14.0000","Regis OO, vol. 1, p. 25-61; Wegman 1989A, p. 121v-136r","","87v-101r","Messe","","12","Ordinarium missae","","14012","IX","4","Ecce ancilla domini","Missa Ecce ancilla Domini","Ordinarium missae","Regis","Regis, Johannes"
"","","14.0000","Dufay OO, vol. 3, p. 33-65; MPLSER 1, I, fasc. 1","","101v-105r","Messe","","13","Ordinarium missae","","14013","X","4","Lomme lomme arme","Missa L'homme armé","Ordinarium missae","Dufay","Dufay, Guillaume"
"","","14.0000","Busnois W, vol. 2, p. 1-48; MPLSER, 1, I, fasc. 2","","106v-117r","Messe","","14","Ordinarium missae","","14014","XI","4","Loume loume Arme","Missa L'homme armé","Ordinarium missae","Busnois","Busnois, Antoine"
"","","14.0000","Regis OO, vol. 1, p. 1-24; MPLSER 1, I, fasc. 5","","117v-127r","Messe","","15","Ordinarium missae","","14015","XII","4","Dum sacrum misterium","Missa L'homme armé (Dum sacrum mysterium)","Ordinarium missae","Regis","Regis, Johannes"
"","","14.0000","Caron OO, vol. 2, p. 100-137; MPLSER 1, I, fasc. 3","","127v-138r","Messe","","16","Ordinarium missae","","14016","XIII","4","Lome lome arme","Missa L'homme armé","Ordinarium missae","Caron","Caron, Philippe"
"","","14.0000","Faugues OO, p. 85-116; MPLSER 1, I, fasc. 4","","138v-149r","Messe","","17","Ordinarium missae","","14017","XIV","4","Lomme arme","Missa L'homme armé","Ordinarium missae","G Faugues","Faugues, Guillaume"
"","","14.0000","Ockeghem CW, vol. 1, p. 57-78","","149v-160r","Messe","","18","Ordinarium missae","","14018","XV","4","Deplus enplus","Missa De plus en plus","Ordinarium missae","Ockegem","Ockeghem, Johannes"
"","","14.0000","MPLSER 1, II, fasc. 10","","160v-170r","Messe","","19","Ordinarium missae","","14019","XVI","4","Puis que ie vis","Missa Puis que je vis","Ordinarium missae","",""
"","","15.0000","","","","","","","","","15000","","","","","","",""
"","LA, p. 130, AR, p. 210 (mit etwas anderem Text)","15.0000","Dufay OO, vol. 5, p. 39 (V. 6)","","2v-5r","Hymnus","","1","Dominica I. adventus. Ad vesperas","","15001","","4","","Conditor alme siderum","AH 51,46, V. 1-4, 6, 7, RH 3733-34, CAO 8284, AMo p. 182","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 40-42 (V. 2); Montecass. 871, p. 221-22, DTÖ XIV-XV, p. 160-161, Reese 1954, p. 84-85, Chw vol. 69, p. 5-6","","5v-8r","Hymnus","","2","In Nativitate Domini. Ad nocturnas","","15002","","2","","Christe Redemptor omnium ex patre","AH 51,49, V, 1, 2, 4, 6, RH 2960, CAO 8277, AMo, p. 238","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 42-43  (V. 4)","","8v-10r","Hymnus","","3","In Epiphania Domini. In I. vesperis","","15003","","4","","Hostis Herodes impie","AH 50,58, V. 8, 9, 11, 13, RH 8073, CAO 8314, AMo, p. 288","","Dufay, Guillaume/Anonymus"
"","","15.0000","Ward 1969, p. 551-556 (V. 2, 4)","","10v-12r","Hymnus","","4","Dominica. Ad vesperas","","15004","","4","","Lucis Creator optime","AH 51,34, RH 10691, CAO 8337, AR, p. 48, AMo, p. 128-129, LU, p. 256-59","","Orto, Marbriano de"
"","","15.0000","Incipits in Ward 1969, p. 377/78","","12v-14r","Hymnus","","5","Dominica. Ad vesperas","","15005","","4","","Lucis Creator optime","AH 51,34, RH 10691, CAO 8337, AR, p. 48, AMo, p. 128-129, LU, p. 256-59","","Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 44-45 (V. 4); Montecass. 871, p. 227-228 (Musik von V. 4 mit Text von V. 1), Montecass. 871, p. 227-228, Chw, vol. 69, p. 8","","14v-16r","Hymnus","","6","Dominica I. in Quadragesima. Ad vesperas","","15006","","4","","Audi benigne Conditor","AH 51,53, RH 1450, CAO 8267, AR, p. 362, AMo, p. 337, LU, p. 539","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 45-46 (V. 6); Montecass. 871, andere Version p. 225-226.","","16v-20r","Hymnus","","7","Dominica in Quadragesima. Ad vesperas","","15007","","4","","Aures ad nostras","AH 51,61, RH 1612, CAO 8269","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 46-47 (V. 6), Montecass. 871, p. 229-230, DTÖ XIV-XV, p. 168","","20v-23r","Hymnus","","8","Dominica I. Passionis. Ad vesperas/Feria VI in Parasceve","","15008","","4","","Vexilla Regis prodeunt","AH 50,74, V. 1, 3, 5-8. RH 21481, CAO 8410, AMo. p. 383, LU, p. 575","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 47-48 (V. 2)","","23v-27r","Hymnus","","9","Dominica Resurrectionis. Ad vesperas","","15009","","3","","Ad coenam agni providi","AH 51,87, V. 1, 2, 4-7. RH 110, CAO 8249, AMo, p. 459","","Dufay, Guillaume/Anonymus"
"","","15.0000","","","27v-29r","Hymnus","","10","In Ascensione Domini. Ad matutinas laudes/Corpus Christi. Ad processionem","","15010","","4","","Iesu nostra redemptio","AH 51,95, RH 9582, CAO 8331, GR, p. 125*, AMo, p. 506-507","",""
"","","15.0000","Dufay OO, vol. 5, p. 51 (V. 2), Montecass. 871, andere Version p. 242-243, DTÖ XIV-XV, p. 167-168, Chw, vol. 69, p. 12-13, Dèzes 1927, n. 4, Wolf 1916, n. 12.","","29v-32r","Hymnus","","11","In festo Pentecostes. In II. vesperis / Pro gratiarum actione","","15011","","4","","Veni Creator Spiritus","AH 50,193, V. 1-6. RH 21204, CAO 8407, AR, p. 500, 73*, GR, p. 120*, AMo, p. 518-519, LU, p. 885","","Dufay, Guillaume/Anonymus"
