"13006","3","113v-119r","Escobedo, Bartolomeo","Missa Ad te levavi","[Credo] Patrem / Crucifixus / Et in spiritum","SS2T+|AB / ST+|A / SS2T|AB",""
"13006","4","119v-123r","Escobedo, Bartolomeo","Missa Ad te levavi","Sanctus / Benedictus","SS2T|AA2B / ST|AB",""
"13006","5","123v-124r","Escobedo, Bartolomeo","Missa Ad te levavi","Agnus Dei","SS2T|AA2B",""
"13007","1","125v-127r","Mouton, Jean","Missa Quem dicunt homines","Kyrie","ST|AB",""
"13007","2","127v-129r","Mouton, Jean","Missa Quem dicunt homines","[Gloria] Et in terra / Domine Deus agnus Dei / Qui tollis","ST|AB / T|AB / ST|AB",""
"13007","3","129v-133r","Mouton, Jean","Missa Quem dicunt homines","[Credo] Patrem / Crucifixus / Et in spiritum","ST|AB / ST|A / ST|AB",""
"13007","4","133v-136r","Mouton, Jean","Missa Quem dicunt homines","Sanctus / Pleni / Osanna / Benedictus","ST|AB / T|AB / ST|AB / ST|A",""
"13007","5","136r [125v-127r]","Mouton, Jean","Missa Quem dicunt homines","[Agnus Dei]","ST|AB","""Agnus supra Kyrie"""
"13008","1","137v-139r","","Missa sine nomine","Kyrie","ST|AB",""
"13008","2","139v-143r","","Missa sine nomine","[Gloria] Et in terra","ST|AB",""
"13008","3","143v-150r","","Missa sine nomine","[Credo] Patrem / Crucifixus / Et resurrexit / Et iterum","ST|AB / T|AB / S|A / ST|AB",""
"13008","4","150v-154r","","Missa sine nomine","Sanctus / Pleni / Osanna / Benedictus","ST|AB / ST|A / ST|AB / ST|AB",""
"13008","5","154v-157r","","Missa sine nomine","Agnus Dei / Agnus Dei / Agnus Dei [dona nobis pacem]","ST|AB / - / ST|AA2B",""
"13009","1","158v-160r","Escobedo, Bartolomeo (K: Morales?)","Immutemur habitu","Immutetur habitu","ST|AB",""
"13009","2","160r-162r","Escobedo, Bartolomeo (K: Morales?)","Immutemur habitu","Iuxta vestibulum et altare","ST|AB",""
"13010","1","163v-164r","Arcadelt, Jacques","Domine non secundum peccata nostra","Domine/Non secundum peccata nostra","ST|A","T: ""Domine"" Choralint."
