"14006","I-TRbc","88","97v-105r (n. 253-257)","","Dufay, Guillaume","Missa Se la face ay pale"
"14007","BAV","SP B80","143v-154r (n.23)","[Kyrie von Crevelli, Egidius lt RISM B IV-5, p. 425]","Domarto, Petrus de","Missa Spiritus almus"
"14007","I-Las","238","11v-17r (n. 2)","Fragment: nicht erhalten Gloria ab Qui tollis (CTA/B), Credo und Sanctus (D/T)","Domarto, Petrus de","Missa Spiritus almus"
"14007","I-MOe","M. 1.13 (Lat. 456 olim V. H. 10))","117v-129r (n. 10)","","Domarto, Petrus de","Missa Spiritus almus"
"14007","I-TRbc","88","401v-410r (n. 497-501)","","Domarto, Petrus de","Missa Spiritus almus"
"14007","PL-Pu","7022","n. 11","","Domarto, Petrus de","Missa Spiritus almus"
"14008","keine","-","-","-","Vincenet, Johannes (?)","Missa Aeterne Rex altissime"
"14009","keine","-","-","-","Eloy d'Amerval","Missa Dixerunt discipuli"
"14010","keine","-","-","-","-","Missa sine nomine"
"14011","B-Br","5557","50v-61r (n. 7)","","Dufay, Guillaume","Missa Ecce ancilla Domini"
"14012","B-Br","5557","121v-136r (B) (n. 22)","","Regis, Johannes","Missa Ecce ancilla Domini"
"14013","BAV","CS 49 (=49004)","36v-55r (n. 4)","","Dufay, Guillaume","Missa L'homme armé"
"14013","GB-En","Adv. Ms. 5.1.15..","24V-40r","","Dufay, Guillaume","Missa L'homme armé"
"14013","I-Las","238","45r-46v (n. 12)","Fragmente von Sanctus und Agnus Dei","Dufay, Guillaume","Missa L'homme armé"
"14014","BAV","C. VIII. 234 (Chigi Codex)","213v-227r","""Busnois""","Busnois, Antoine","Missa L'homme armé"
"14014","BAV","CS 63 (=63001)","2v-13r","","Busnois, Antoine","Missa L'homme armé"
"14014","BAV","SM 26 (olim J. J. III. 4)","154v-172r (n. 10)","","Busnois, Antoine","Missa L'homme armé"
"14014","E-Bc","454","49v-59r (n. 17)","","Busnois, Antoine","Missa L'homme armé"
"14014","I-MOas","221","p. 1-2, (n. 12)","nur A, B von Agnus I und S con Agnus II","Busnois, Antoine","Missa L'homme armé"
"14014","I-VEcap","761","101v-112r (n. 9)","","Busnois, Antoine","Missa L'homme armé"
"14015","keine","-","-","-","Regis, Johannes","Missa L'homme armé (Dum sacrum mysterium)"
"14016","BAV","SP B80","99r-113r (n. 19)","F. Caron","Caron, Philippe","Missa L'homme armé"
"14017","I-MOe","M. 1.13 (Lat. 456 olim V. H. 10)","176v-192r (n. 15)","(spätere Fassung)","Faugues, Guillaume","Missa L'homme armé"
"14017","I-VEcap","761","112v-123r (n. 10)","","Faugues, Guillaume","Missa L'homme armé"
"14018","BAV","C. VIII. 234 (Chigi Codex)","75v-87r (n. 9)","","Ockeghem, Johannes","Missa De plus en plus"
"14019","keine","-","-","-","-","Missa Puis que je vis"
"15001","BAV","SP B80","182r","","Dufay, Guillaume/Anonymus","Conditor alme siderum"
"15001","D-Mbs","14274","85v","V. 6","Dufay, Guillaume/Anonymus","Conditor alme siderum"
"15001","I-Bc","Q15","285v-286r (n. 293)","V. 6, ""Dufay""","Dufay, Guillaume/Anonymus","Conditor alme siderum"
"15001","I-MOe","X. I.11 (ModB)","1r [4r]","""Dufay""","Dufay, Guillaume/Anonymus","Conditor alme siderum"
"15001","I-TRbc","92","61r (n. 1416)","V. 6, ""Dufay""","Dufay, Guillaume/Anonymus","Conditor alme siderum"
"15002","BAV","SP B80","182r","V. 2","Dufay, Guillaume/Anonymus","Christe Redemptor omnium ex patre"
"15002","I-Bc","Q15","287v (n. 295)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Christe Redemptor omnium ex patre"
"15002","I-MC","871","p. 295","V. 2","Dufay, Guillaume/Anonymus","Christe Redemptor omnium ex patre"
"15002","I-MOe","X. I.11 (ModB)","1v-2r [4v-5r]","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Christe Redemptor omnium ex patre"
"15002","I-TRbc","92","134r (n. 1493)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Christe Redemptor omnium ex patre"
"15002","I-VEcap","759","96v-97r","V. 4 (untextiert)","Dufay, Guillaume/Anonymus","Christe Redemptor omnium ex patre"
"15003","I-AOs","15 (olim s.s.)","219r (n. 161)","","Dufay, Guillaume/Anonymus","Hostis Herodes impie"
"15003","I-Bc","Q15","288r (n. 296)","V. 4, ""Dufay""","Dufay, Guillaume/Anonymus","Hostis Herodes impie"
"15003","I-MOe","X. I.11 (ModB)","3v-4r [6v-7r]","V. 4, ""Dufay""","Dufay, Guillaume/Anonymus","Hostis Herodes impie"
"15003","I-TRbc","92","238v (n. 1583)","V. 4, ""G. Dufay""","Dufay, Guillaume/Anonymus","Hostis Herodes impie"
"15004","keine","-","-","-","Orto, Marbriano de","Lucis Creator optime"
"15005","keine","-","-","-","Anonymus","Lucis Creator optime"
"15006","F-CA","29","157v","V. 4","Dufay, Guillaume/Anonymus","Audi benigne conditor"
"15006","I-MC","871","p. 298 (Originalfol.: 27*) oder 26v","V. 4","Dufay, Guillaume/Anonymus","Audi benigne conditor"
"15006","I-MOe","X. I.11 (ModB)","5v [8v]","V. 4, ""Dufay""","Dufay, Guillaume/Anonymus","Audi benigne conditor"
"15007","BAV","CS 15 (=15007)","16v-17r","V. 1","Dufay, Guillaume/Anonymus","Aures ad nostras"
"15007","BAV","CS 15 (=15007)","19v-20r","V. 8","Dufay, Guillaume/Anonymus","Aures ad nostras"
"15007","BAV","SP B80","228v","V. 6","Dufay, Guillaume/Anonymus","Aures ad nostras"
"15007","I-MOe","X. I.11 (ModB)","6r [9r]","V. 6, ""Dufay""","Dufay, Guillaume/Anonymus","Aures ad nostras"
"15008","BAV","CS 15 (=15008)","22v-23r","V. 6","Dufay, Guillaume/Anonymus","Vexilla regis prodeunt"
"15008","F-CA","29","258v","V. 2, 6","Dufay, Guillaume/Anonymus","Vexilla regis prodeunt"
