"","3.0000","vgl. GR, p. 153-159","","Dominica in Palmis","In die palmarum","23r-31r","Proprium","Hk","7","3007",""
"","3.0000","vgl. GR, p. 159-161","","Feria secunda maioris hebdomadae","Feria secunda","31r-34r","Proprium","Hk","8","3008",""
"","3.0000","vgl. GR, p. 162f.","","Feria tertia maioris hebdomadae","Feria iii","34r-37v","Proprium","Hk","9","3009",""
"","3.0000","vgl. GR, p. 164-168","","Feria quarta maioris hebdomadae","Feria iiii.","37v-43v","Proprium","Hk","10","3010",""
"","3.0000","vgl. GR, p. 168-170","","Coena Domini","Feria v.","43v-46r","Proprium","Hk","11","3011",""
"","3.0000","vgl. GR, p. 177-191","","Feria sexta in Parasceve","Feria vi. in parasceve","46r-77r","Proprium","Hk+Ein","12","3012",""
"","3.0000","vgl. GR, p. 192-201","","Sabbato Sancto","Sabbato sancto","77r-92v","Proprium","Hk","13","3013",""
"","3.0000","vgl. GR, p. 202-205","","Dominica Resurrectionis","Dominica in Resurrectione Domini Iesu Christi","93r-96v","Proprium","Hk","14","3014",""
"","3.0000","vgl. GR, p. 206-208","","Feria secunda post dominicam Resurrectionis","Feria secunda","96v-99r","Proprium","Hk","15","3015",""
"","3.0000","vgl. GR, p. 208-210","","Feria tertia post dominicam Resurrectionis","Feria tertia","99r-102v","Proprium","Hk","16","3016",""
"","3.0000","vgl. GR, p. 211-213","","Feria quarta post dominicam Resurrectionis","feria quarta","102v-105v","Proprium","Hk","17","3017",""
"","3.0000","vgl. GR, p. 213-215","","Feria quinta post dominicam Resurrectionis","feria v.","105v-109r","Proprium","Hk","18","3018",""
"","3.0000","vgl. GR, p. 216-218","","Feria sexta post dominicam Resurrectionis","Feria vi.","109r-112v","Proprium","Hk","19","3019",""
"","3.0000","vgl. GR, p. 218-220","","Sabbato in Albis","Sabbato in albis","112v-115v","Proprium","Hk","20","3020",""
"","3.0000","vgl. GR, p. 221-223","","Dominica in Albis","dominica in octavam pasce","115v-118v","Proprium","Hk","21","3021",""
"","3.0000","vgl. GR, p. 223-225","","Dominica secunda post Pascha","Dominica prima post octavam pasce","118v-121r","Proprium","Hk","22","3022",""
"","3.0000","vgl. GR, p. 225-227","","Dominica tertia post Pascha","Dominica ii. post oct. pasce","121r-124r","Proprium","Hk","23","3023",""
"","3.0000","vgl. GR, p. 227-229","","Dominica quarta post Pascha","Dnica. iii. p. oct.","124r-127v","Proprium","Hk","24","3024",""
